net	instance_name	print_name	bom_line_number	mfg	mpn	item_type	parent_instance	location_type	segment_group	segment_order	connector_group	channel_group	circuit_id	circuit_port_number	node_at_end_a	node_at_end_b	print_name_at_end_a	print_name_at_end_b	parent_csys_instance_name	parent_csys_outputcsys_name	translate_x	translate_y	rotate_csys	absolute_rotation	csys_children	cable_group	cable_container	cable_identifier	length	diameter	appearance	note_type	note_number	note_parent	note_text	note_affected_instances	lib_repo	lib_subpath	lib_desc	lib_latest_rev	lib_rev_used_here	lib_status	lib_releaseticket	lib_datestarted	lib_datemodified	lib_datereleased	lib_drawnby	lib_checkedby	project_editable_lib_modified	lib_build_notes	lib_tools	this_instance_mating_device_refdes	this_instance_mating_device_connector	this_instance_mating_device_connector_mpn	this_net_from_device_refdes	this_net_from_device_channel_id	this_net_from_device_connector_name	this_net_to_device_refdes	this_net_to_device_channel_id	this_net_to_device_connector_name	this_channel_from_device_refdes	this_channel_from_device_channel_id	this_channel_to_device_refdes	this_channel_to_device_channel_id	this_channel_from_channel_type	this_channel_to_channel_type	signal_of_channel_type	debug	debug_cutoff
/MIC_CABLE_1	MIC2.out1.conn				D38999_26ZA98PN	connector		node			MIC2.out1								MIC2.out1.node	origin																	https://github.com/harnice/harnice															MIC2	out1	XLR3M														harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:82 in <module>() -> instances_list.py:161 in modify()	 
/MIC_CABLE_1	MIC2.out1.2					connector_cavity	MIC2.out1.conn	node			MIC2.out1		0	0																																																						harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:181 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/MIC_CABLE_1	X2.A.node					node		node			X2.A																																																									harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:210 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/MIC_CABLE_1	X2.A.conn				D38999_26ZC35PN	connector		node			X2.A								X2.A.node	origin																	https://github.com/harnice/harnice															X2	A	DB25M														harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:98 in <module>() -> instances_list.py:161 in modify()	 
/MIC_CABLE_1	X2.A.24					connector_cavity	X2.A.conn	node			X2.A		0	2																																																						harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:167 in <module>() -> circuit_utils.py:101 in squeeze_instance_between_ports_in_circuit() -> instances_list.py:161 in modify()	 
/MIC_CABLE_1	circuit-0	pos of MIC2.out1 <-> PREAMP1.in2				circuit						channel-MIC2.out1-PREAMP1.in2	0		MIC2.out1.2	X2.A.24																																							MIC2	out1	out1	X2	ch0	A	MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')	pos	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:256 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
	channel-MIC2.out1-PREAMP1.in2	MIC2.out1 <-> PREAMP1.in2				channel		segment				channel-MIC2.out1-PREAMP1.in2																			{'base_color': '#D59A10'}																														MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')		harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:125 in <module>() -> instances_list.py:161 in modify()	 
/MIC_CABLE_1	/MIC_CABLE_1:channel-MIC2.out1-PREAMP1.in2	MIC2.out1 <-> PREAMP1.in2				net-channel	channel-MIC2.out1-PREAMP1.in2	segment				channel-MIC2.out1-PREAMP1.in2			MIC2.out1.2	X2.A.24	out1	ch0													{'base_color': '#D59A10'}																								MIC2	out1	out1	X2	ch0	A	MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')		harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:228 in <module>() -> instances_list.py:161 in modify()	 
/INPUT_SNK	X2.B.node					node		node			X2.B																																																									harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:150 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/INPUT_SNK	X2.B.conn				D38999_26ZE6PN	connector		node			X2.B								X2.B.node	origin																	https://github.com/harnice/harnice															X2	B	DB25F														harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:106 in <module>() -> instances_list.py:161 in modify()	 
/INPUT_SNK	X2.B.24					connector_cavity	X2.B.conn	node			X2.B		1	0																																																						harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:181 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/INPUT_SNK	X1.A.node					node		node			X1.A																																																									harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:210 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/INPUT_SNK	X1.A.conn				D38999_26ZC35PN	connector		node			X1.A								X1.A.node	origin																	https://github.com/harnice/harnice															X1	A	DB25M														harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:98 in <module>() -> instances_list.py:161 in modify()	 
/INPUT_SNK	X1.A.24					connector_cavity	X1.A.conn	node			X1.A		1	2																																																						harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:167 in <module>() -> circuit_utils.py:101 in squeeze_instance_between_ports_in_circuit() -> instances_list.py:161 in modify()	 
/INPUT_SNK	circuit-1	pos of MIC2.out1 <-> PREAMP1.in2				circuit						channel-MIC2.out1-PREAMP1.in2	1		X2.B.24	X1.A.24																																							X2	ch0	B	X1	ch0	A	MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')	pos	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:256 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/INPUT_SNK	/INPUT_SNK:channel-MIC2.out1-PREAMP1.in2	MIC2.out1 <-> PREAMP1.in2				net-channel	channel-MIC2.out1-PREAMP1.in2	segment				channel-MIC2.out1-PREAMP1.in2			X2.B.24	X1.A.24	ch0	ch0													{'base_color': '#D59A10'}																								X2	ch0	B	X1	ch0	A	MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')		harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:228 in <module>() -> instances_list.py:161 in modify()	 
/OUTPUT_SNK	X1.B.node					node		node			X1.B																																																									harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:150 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/OUTPUT_SNK	X1.B.conn				D38999_26ZE6PN	connector		node			X1.B								X1.B.node	origin																	https://github.com/harnice/harnice															X1	B	DB25F														harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:106 in <module>() -> instances_list.py:161 in modify()	 
/OUTPUT_SNK	X1.B.24					connector_cavity	X1.B.conn	node			X1.B		2	0																																																						harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:181 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/OUTPUT_SNK	PREAMP1.in2.node					node		node			PREAMP1.in2																																																									harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:210 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/OUTPUT_SNK	PREAMP1.in2.conn				D38999_26ZB98PN	connector		node			PREAMP1.in2								PREAMP1.in2.node	origin																	https://github.com/harnice/harnice															PREAMP1	in2	XLR3F														harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:90 in <module>() -> instances_list.py:161 in modify()	 
/OUTPUT_SNK	PREAMP1.in2.2					connector_cavity	PREAMP1.in2.conn	node			PREAMP1.in2		2	2																																																						harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:167 in <module>() -> circuit_utils.py:101 in squeeze_instance_between_ports_in_circuit() -> instances_list.py:161 in modify()	 
/OUTPUT_SNK	circuit-2	pos of MIC2.out1 <-> PREAMP1.in2				circuit						channel-MIC2.out1-PREAMP1.in2	2		X1.B.24	PREAMP1.in2.2																																							X1	ch0	B	PREAMP1	in2	in2	MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')	pos	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:256 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/OUTPUT_SNK	/OUTPUT_SNK:channel-MIC2.out1-PREAMP1.in2	MIC2.out1 <-> PREAMP1.in2				net-channel	channel-MIC2.out1-PREAMP1.in2	segment				channel-MIC2.out1-PREAMP1.in2			X1.B.24	PREAMP1.in2.2	ch0	in2													{'base_color': '#D59A10'}																								X1	ch0	B	PREAMP1	in2	in2	MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')		harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:228 in <module>() -> instances_list.py:161 in modify()	 
/MIC_CABLE_1	MIC2.out1.3					connector_cavity	MIC2.out1.conn	node			MIC2.out1		3	0																																																						harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:181 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/MIC_CABLE_1	X2.A.12					connector_cavity	X2.A.conn	node			X2.A		3	2																																																						harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:167 in <module>() -> circuit_utils.py:101 in squeeze_instance_between_ports_in_circuit() -> instances_list.py:161 in modify()	 
/MIC_CABLE_1	circuit-3	neg of MIC2.out1 <-> PREAMP1.in2				circuit						channel-MIC2.out1-PREAMP1.in2	3		MIC2.out1.3	X2.A.12																																							MIC2	out1	out1	X2	ch0	A	MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')	neg	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:256 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/INPUT_SNK	X2.B.12					connector_cavity	X2.B.conn	node			X2.B		4	0																																																						harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:181 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/INPUT_SNK	X1.A.12					connector_cavity	X1.A.conn	node			X1.A		4	2																																																						harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:167 in <module>() -> circuit_utils.py:101 in squeeze_instance_between_ports_in_circuit() -> instances_list.py:161 in modify()	 
/INPUT_SNK	circuit-4	neg of MIC2.out1 <-> PREAMP1.in2				circuit						channel-MIC2.out1-PREAMP1.in2	4		X2.B.12	X1.A.12																																							X2	ch0	B	X1	ch0	A	MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')	neg	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:256 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/OUTPUT_SNK	X1.B.12					connector_cavity	X1.B.conn	node			X1.B		5	0																																																						harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:181 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/OUTPUT_SNK	PREAMP1.in2.3					connector_cavity	PREAMP1.in2.conn	node			PREAMP1.in2		5	2																																																						harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:167 in <module>() -> circuit_utils.py:101 in squeeze_instance_between_ports_in_circuit() -> instances_list.py:161 in modify()	 
/OUTPUT_SNK	circuit-5	neg of MIC2.out1 <-> PREAMP1.in2				circuit						channel-MIC2.out1-PREAMP1.in2	5		X1.B.12	PREAMP1.in2.3																																							X1	ch0	B	PREAMP1	in2	in2	MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')	neg	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:256 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/INPUT_SNK	MIC100.out1.node					node		node			MIC100.out1																																																									harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:150 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/INPUT_SNK	MIC100.out1.conn				D38999_26ZA98PN	connector		node			MIC100.out1								MIC100.out1.node	origin																	https://github.com/harnice/harnice															MIC100	out1	XLR3M														harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:82 in <module>() -> instances_list.py:161 in modify()	 
/INPUT_SNK	MIC100.out1.2					connector_cavity	MIC100.out1.conn	node			MIC100.out1		6	0																																																						harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:181 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
/INPUT_SNK	X1.A.10					connector_cavity	X1.A.conn	node			X1.A		6	2																																																						harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:167 in <module>() -> circuit_utils.py:101 in squeeze_instance_between_ports_in_circuit() -> instances_list.py:161 in modify()	 
/INPUT_SNK	circuit-6	pos of MIC100.out1 <-> PREAMP1.in1				circuit						channel-MIC100.out1-PREAMP1.in1	6		MIC100.out1.2	X1.A.10																																							MIC100	out1	out1	X1	ch1	A	MIC100	out1	PREAMP1	in1	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')	pos	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:256 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
	channel-MIC100.out1-PREAMP1.in1	MIC100.out1 <-> PREAMP1.in1				channel		segment				channel-MIC100.out1-PREAMP1.in1																			{'base_color': '#D59A10'}																														MIC100	out1	PREAMP1	in1	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')		harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:125 in <module>() -> instances_list.py:161 in modify()	 
